age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
18-24,Hombre,University degree,UK,White,37,44,46,28,52,13.63%,13.21%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Hombre,University degree,UK,White,35,48,41,46,45,16.29%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Hombre,"Some college or university, no certificate or degree",UK,White,33,50,40,51,46,16.29%,8.97%,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,31,43,38,38,41,18.83%,11.19%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,Black,37,28,46,46,30,18.83%,11.83%,Used in Last Month,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,University degree,USA,White,41,23,49,48,44,18.83%,5.46%,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,Black,49,25,52,43,33,18.83%,13.21%,Used in Last Month,Used in Last Week,Never Used,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Month,Used in Last Month,Never Used,Never Used
35-44,Hombre,Professional certificate/ diploma,UK,White,26,44,43,47,46,18.83%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Professional certificate/ diploma,Canada,White,50,22,38,55,40,16.29%,4.62%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Masters degree,USA,White,37,46,56,46,40,11.46%,11.62%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",USA,White,46,29,40,33,42,14.64%,11.19%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used over a Decade Ago
25-34,Mujer,"Some college or university, no certificate or degree",Other,White,54,27,47,52,35,13.63%,11.19%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year
25-34,Hombre,Doctorate degree,UK,White,23,45,46,57,40,18.83%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,University degree,UK,White,43,38,44,46,39,14.64%,11.83%,Used in Last Week,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,UK,White,31,45,39,52,49,14.64%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,27,38,46,41,39,7.85%,11.83%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,31,44,45,42,37,10.34%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,37,27,43,45,39,16.29%,11.19%,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used
55-64,Mujer,Doctorate degree,UK,White,25,40,51,35,49,18.83%,11.62%,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Hombre,University degree,UK,White,42,36,51,42,45,11.46%,8.97%,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,Masters degree,USA,White,21,45,51,42,42,18.83%,11.62%,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,49,33,58,31,27,5.52%,13.21%,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used
35-44,Hombre,University degree,USA,White,54,34,58,48,42,7.85%,5.46%,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used
25-34,Hombre,Professional certificate/ diploma,UK,White,30,43,32,45,48,16.29%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,32,35,42,45,33,18.83%,11.19%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Week,Never Used,Used in Last Decade,Used in Last Month,Never Used,Used in Last Decade
18-24,Mujer,Left school at 18 years,Canada,White,40,41,46,37,35,11.46%,11.62%,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Day,Never Used,Used in Last Year
55-64,Mujer,"Some college or university, no certificate or degree",UK,White,42,27,38,38,28,11.46%,11.62%,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,University degree,UK,White,27,42,36,39,53,18.83%,11.62%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Hombre,Professional certificate/ diploma,UK,White,31,45,42,49,41,11.46%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Hombre,University degree,UK,White,31,46,40,45,49,13.63%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,University degree,UK,White,26,48,40,49,41,18.83%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,Left school at 18 years,UK,White,28,34,51,37,44,16.29%,11.83%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,University degree,UK,White,36,51,50,44,41,7.85%,11.14%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Hombre,Masters degree,UK,White,28,44,40,36,44,16.29%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Hombre,Doctorate degree,UK,Other,17,51,46,47,56,10.34%,11.83%,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Month,Never Used,Never Used
45-54,Hombre,Left school at 16 years,UK,White,35,38,34,51,51,14.64%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,48,43,50,38,48,16.29%,11.83%,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,34,45,42,38,35,18.83%,11.19%,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Hombre,Masters degree,UK,Other,40,34,53,48,46,16.29%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,25,42,43,37,43,18.83%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,UK,White,36,37,46,49,31,16.29%,11.62%,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,University degree,UK,White,40,47,38,57,50,14.64%,4.62%,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Left school at 18 years,UK,White,31,41,28,47,49,11.46%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Mujer,University degree,UK,White,35,47,51,49,53,7.85%,11.19%,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Mujer,Professional certificate/ diploma,UK,White,19,39,36,47,45,18.83%,8.97%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,24,41,42,45,46,14.64%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,Left school at 16 years,UK,White,25,31,30,54,46,1.06%,3.77%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Masters degree,UK,White,37,42,50,38,38,1.06%,8.97%,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Month,Never Used,Never Used
18-24,Hombre,Left school at 16 years,UK,White,21,42,33,54,47,18.83%,7.00%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,28,33,43,40,39,18.83%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",Other,White,18,46,46,44,52,1.06%,11.83%,Used in Last Month,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
25-34,Hombre,"Some college or university, no certificate or degree",UK,White,42,30,41,43,36,18.83%,11.19%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Masters degree,UK,White,32,38,48,42,43,18.83%,11.83%,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,Professional certificate/ diploma,UK,White,40,34,40,35,50,13.63%,7.00%,Used in Last Month,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,27,38,35,43,43,14.64%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,26,45,42,49,51,13.63%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,Masters degree,UK,White,16,42,30,55,54,18.83%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,23,46,48,51,44,16.29%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Professional certificate/ diploma,UK,White,24,38,45,46,42,18.83%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Hombre,Left school before 16 years,UK,White,34,41,41,49,46,16.29%,11.19%,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Professional certificate/ diploma,UK,White,38,40,43,45,42,16.29%,7.00%,Used in Last Month,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Hombre,University degree,UK,White,27,42,42,42,49,14.64%,3.77%,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,University degree,USA,White,50,44,52,32,42,14.64%,7.00%,Used in Last Week,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used
35-44,Mujer,University degree,UK,White,22,45,53,39,38,11.46%,11.19%,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
35-44,Hombre,Masters degree,UK,White,30,43,42,41,48,18.83%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Hombre,"Some college or university, no certificate or degree",UK,White,31,33,36,46,42,16.29%,11.19%,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,Left school at 16 years,UK,White,20,46,39,56,55,14.64%,8.97%,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Hombre,Masters degree,UK,Black,33,36,42,44,43,18.83%,7.00%,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,"Some college or university, no certificate or degree",UK,White,37,45,49,52,41,13.63%,11.83%,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Mujer,University degree,USA,White,49,35,60,60,36,10.34%,5.46%,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Hombre,Left school at 17 years,USA,White,58,37,43,30,26,10.34%,11.83%,Used in Last Week,Used in Last Day,Never Used,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,33,43,40,39,45,18.83%,11.83%,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,USA,White,54,44,55,36,37,7.85%,11.14%,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Mujer,University degree,UK,White,29,46,41,55,49,11.46%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,Professional certificate/ diploma,UK,White,34,50,46,44,39,10.34%,11.62%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,26,41,49,27,30,10.34%,5.46%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used
18-24,Hombre,Left school at 18 years,USA,White,46,49,59,40,49,11.46%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Mujer,Left school at 18 years,USA,White,43,40,55,47,29,11.46%,13.21%,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
35-44,Mujer,Professional certificate/ diploma,UK,White,46,37,29,41,47,14.64%,3.77%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Mujer,Masters degree,Australia,White,27,37,47,38,49,5.52%,13.21%,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Mujer,Masters degree,Other,White,33,27,46,41,44,18.83%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,30,42,47,34,48,13.63%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Hombre,Professional certificate/ diploma,UK,White,33,36,45,41,47,10.34%,13.21%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,41,32,46,28,31,16.29%,11.19%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
18-24,Hombre,University degree,Other,White,28,32,57,45,57,18.83%,11.14%,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade
